Animal Type,Breed,Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Appetite Loss,Vomiting,Diarrhea,Coughing,Labored Breathing,Lameness,Skin Lesions,Body Temperature,Heart Rate,Disease Prediction,Treatment,Advice Prevention
Dog,Poodle,2,Female,Lethargy,Appetite Loss,Coughing,Vomiting,Yes,Yes,No,Yes,No,No,No,39.4°C,115,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Bengal,1,Male,Vomiting,Diarrhea,Lethargy,Appetite Loss,Yes,Yes,Yes,No,No,No,No,38.8°C,140,Panleukopenia,"Intensive supportive care: IV fluids to correct dehydration, broad-spectrum antibiotics to prevent sepsis, antiemetics (maropitant), and tube feeding if anorexic. Plasma or blood transfusions for severely immunosuppressed cats.",FVRCP vaccination is core and highly protective. Isolate sick cats immediately. Decontaminate exposed areas with 1:32 bleach dilution as the virus is hardy in the environment.
Cow,Hereford,5,Male,Fever,Lethargy,Decreased Milk Yield,Appetite Loss,Yes,No,No,No,No,No,No,39.7°C,80,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Chihuahua,4,Female,Lethargy,Vomiting,Diarrhea,Coughing,Yes,Yes,Yes,Yes,No,No,No,39.1°C,130,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Ragdoll,3,Male,Skin Lesions,Appetite Loss,Lethargy,Vomiting,Yes,Yes,No,No,No,No,Yes,38.6°C,155,Ringworm,• Treatment is not necessary; it commonly heals in about 8 weeks. • Imidazole spray may stop progression of lesions and slow the spread to other cattle.,• Management — prevent mixing cattle with active ringworm infection and isolate any cases. • Management — process affected animals last in handling facilities and treat with imidazole spray at each yarding.
Dog,Siberian Husky,6,Male,Lameness,Fever,Skin Lesions,Lethargy,Yes,No,No,No,No,Yes,Yes,39.3°C,120,Tick-Borne Disease,"Doxycycline (10 mg/kg orally once daily for 14-28 days) is effective for Ehrlichia, Anaplasma, and Rocky Mountain Spotted Fever. Supportive care with fluids and blood transfusion for thrombocytopenia or anemia.","Year-round tick prevention with isoxazolines (NexGard, Bravecto, Simparica). Daily tick checks after outdoor activities; remove ticks with fine-tipped tweezers. Avoid wooded areas during peak tick season (spring/fall)."
Cat,British Shorthair,5,Female,Lethargy,Eye Discharge,Appetite Loss,Nasal Discharge,No,No,No,Yes,Yes,No,No,39.0°C,150,Upper Respiratory Infection,"Antibiotics (doxycycline or amoxicillin-clavulanate) for bacterial infections; antiviral famciclovir if herpesvirus involved. Nebulization, nasal decongestants, and nutritional support for recovery.",Vaccinate with FVRCP; isolate infected cats. Clean nasal discharge regularly; use a humidifier. Reduce stress and overcrowding. Wash hands between handling sick and healthy cats.
Cow,Angus,3,Female,Decreased Milk Yield,Fever,Appetite Loss,Lethargy,Yes,No,No,No,No,No,No,39.5°C,70,Mastitis,"Intramammary antibiotic infusion (cloxacillin, penicillin-streptomycin, or cefapirin) directly into the affected teat after complete milk-out; systemic antibiotics (penicillin, amoxicillin) for severe cases with fever. NSAIDs (flunixin meglumine) for pain and inflammation.","Implement a dry-cow therapy program; dip teats in germicidal post-milking iodine solution after every milking. Maintain clean, dry bedding; cull chronically infected cows. Regular somatic cell count monitoring of bulk milk."
Dog,Poodle,2,Female,Coughing,Nasal Discharge,Appetite Loss,Lethargy,Yes,No,No,Yes,No,No,No,39.1°C,125,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Bengal,3,Male,Lethargy,Vomiting,Diarrhea,Dehydration,Yes,Yes,Yes,No,No,No,No,39.3°C,140,Panleukopenia,"Intensive supportive care: IV fluids to correct dehydration, broad-spectrum antibiotics to prevent sepsis, antiemetics (maropitant), and tube feeding if anorexic. Plasma or blood transfusions for severely immunosuppressed cats.",FVRCP vaccination is core and highly protective. Isolate sick cats immediately. Decontaminate exposed areas with 1:32 bleach dilution as the virus is hardy in the environment.
Cow,Angus,5,Female,Fever,Decreased Milk Yield,Lethargy,Nasal Discharge,Yes,No,No,Yes,Yes,No,No,39.8°C,80,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Golden Retriever,4,Male,Lameness,Swelling,Appetite Loss,Fever,Yes,No,No,No,No,Yes,No,39.5°C,110,Arthritis,"Non-steroidal Anti-Inflammatory Agents; carprofen, robenacoxib; Steroids; prednisolone Arthritis is not curable however preventing further erosion is paramount, since it limits the chance of needing surgery in the future.","It is important to stipulate to the correct dosing and not try to adjust it to provide more pain relief.; Be careful when purchasing any over-the-counter medication.; Supplement your pet’s diet with omega 3 and 6 fatty acids, glucosamine and chondroitin; Large breed dogs* are more prone to arthritis, thus it is important to maintain a healthy diet from the start. Provide specifically designed food so that growth takes place at an appropriate rate, since if it occurs too quickly joints might form in an abnormal manner eventually leading to joint disease.; Certain cat breeds are also more prone to Degenerative Joint Disease, such as Himalayan, Siamese and Persian.; Arthritis can be prevented by maintaining your pet with a healthy weight. *Golden retrievers, Rottweilers, Labrador retrievers, German shepherds"
Cat,Russian Blue,2,Female,Coughing,Nasal Discharge,Eye Discharge,Sneezing,No,No,No,Yes,No,No,No,38.8°C,150,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Dog,Chihuahua,1,Male,Vomiting,Diarrhea,Lethargy,Fever,Yes,Yes,Yes,No,No,No,No,39.4°C,135,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Ragdoll,6,Male,Appetite Loss,Weight Loss,Vomiting,Lethargy,Yes,Yes,No,No,No,No,Yes,39.0°C,160,Feline Leukemia,"No cure; management includes chemotherapy (cyclophosphamide, vincristine, prednisolone) for FeLV-associated lymphoma. Supportive care: blood transfusions for anemia, antibiotics for infections, appetite stimulants.",FeLV vaccination is strongly recommended for outdoor or at-risk cats. Test all new cats before household introduction; isolate positive cats from FeLV-negative animals.
Cow,Hereford,3,Female,Lethargy,Fever,Decreased Milk Yield,Nasal Discharge,Yes,No,No,Yes,No,No,No,39.6°C,75,Mastitis,"Intramammary antibiotic infusion (cloxacillin, penicillin-streptomycin, or cefapirin) directly into the affected teat after complete milk-out; systemic antibiotics (penicillin, amoxicillin) for severe cases with fever. NSAIDs (flunixin meglumine) for pain and inflammation.","Implement a dry-cow therapy program; dip teats in germicidal post-milking iodine solution after every milking. Maintain clean, dry bedding; cull chronically infected cows. Regular somatic cell count monitoring of bulk milk."
Dog,German Shepherd,5,Male,Lethargy,Labored Breathing,Coughing,Appetite Loss,Yes,No,No,Yes,Yes,No,No,39.6°C,125,Heartworm Disease,Melarsomine injections (split-dose protocol) to kill adult worms; doxycycline pretreatment. Strict exercise restriction for 2 months post-treatment. Corticosteroids if pulmonary reaction occurs.,Year-round monthly heartworm prevention is the most effective strategy. Annual heartworm antigen testing before refilling prevention. Limit mosquito exposure.
Cat,Maine Coon,6,Female,Appetite Loss,Vomiting,Diarrhea,Skin Lesions,Yes,Yes,Yes,No,No,Yes,No,38.9°C,145,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Holstein,4,Female,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,Yes,No,Yes,No,No,No,No,39.4°C,82,Johne'S Disease,"No curative treatment; supportive management with quality nutrition, probiotics, and reduced stress. Antidiarrheal agents may provide temporary relief. Culling of clinical cases is recommended.",Annual herd testing with test-and-cull for positive animals. Feed calves from low-risk cows; ensure clean colostrum. Prevent manure contamination of feed and water sources.
Dog,Beagle,2,Female,Fever,Vomiting,Lethargy,Skin Lesions,Yes,Yes,No,No,No,Yes,Yes,39.2°C,132,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Persian,8,Male,Appetite Loss,Vomiting,Eye Discharge,Lethargy,No,Yes,No,No,No,No,Yes,39.0°C,140,Conjunctivitis,Topical antibiotic eye drops (tobramycin or chloramphenicol) for bacterial cases; antiviral drops (idoxuridine) if herpesvirus is involved. Warm saline cleaning of discharge and lubrication eye drops to relieve irritation.,Keep eyes clean daily; isolate from other cats during active infection. Vaccinate against herpesvirus (FVRCP) as it is a leading cause. Minimize stress which can reactivate latent herpesvirus.
Cow,Jersey,3,Male,Diarrhea,Lethargy,Appetite Loss,Decreased Milk Yield,Yes,No,Yes,No,No,No,No,39.7°C,79,Salmonellosis,"Fluid and electrolyte replacement (oral or IV) is the cornerstone of treatment. Antibiotics (trimethoprim-sulfonamide, florfenicol, or ampicillin) based on sensitivity testing. NSAIDs to control fever.","Biosecurity: quarantine new animals, rodent control, clean feed storage. Vaccination available for some serovars (S. Dublin, S. Typhimurium). Proper manure management and hygiene in calving areas."
Dog,Dachshund,7,Male,Coughing,Labored Breathing,Lethargy,Appetite Loss,Yes,No,No,Yes,Yes,No,No,39.5°C,120,Chronic Bronchitis,"Corticosteroids (prednisolone) for airway inflammation; bronchodilators (theophylline, terbutaline) to relieve bronchoconstriction. Antitussives for comfort. Weight loss therapy if obese.","Eliminate exposure to cigarette smoke, aerosols, and dusty environments. Use a harness instead of a neck collar to reduce airway pressure. Keep dog at healthy body weight. Annual chest X-rays to monitor progression."
Cat,Sphynx,4,Female,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,No,No,No,Yes,Yes,No,No,39.3°C,150,Feline Upper Respiratory Infection,Doxycycline or amoxicillin-clavulanate for bacterial infections; nasal decongestants and saline flushes. Antiviral famciclovir if herpesvirus suspected. Syringe feeding and appetite stimulants if not eating.,"Vaccinate with FVRCP; isolate sick cats promptly. Provide warm, draft-free rest area. Regular cleaning of nasal discharge to keep airways clear."
Dog,Golden Retriever,4,Female,Lethargy,Vomiting,Diarrhea,Loss Of Appetite,Yes,No,Yes,Yes,No,Yes,No,39.2°C,130,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,British Shorthair,3,Male,Appetite Loss,Coughing,Nasal Discharge,Eye Discharge,Yes,No,No,Yes,Yes,No,No,38.7°C,145,Feline Upper Respiratory Infection,Doxycycline or amoxicillin-clavulanate for bacterial infections; nasal decongestants and saline flushes. Antiviral famciclovir if herpesvirus suspected. Syringe feeding and appetite stimulants if not eating.,"Vaccinate with FVRCP; isolate sick cats promptly. Provide warm, draft-free rest area. Regular cleaning of nasal discharge to keep airways clear."
Cow,Angus,6,Male,Coughing,Nasal Discharge,Labored Breathing,Fever,No,No,No,Yes,Yes,No,No,39.9°C,82,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Bulldog,5,Male,Vomiting,Appetite Loss,Fever,Diarrhea,Yes,Yes,No,No,Yes,Yes,No,39.6°C,138,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Siamese,2,Female,Sneezing,Eye Discharge,Appetite Loss,Lethargy,Yes,No,Yes,No,Yes,No,No,39.0°C,135,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Hereford,3,Female,Lethargy,Diarrhea,Appetite Loss,Dehydration,Yes,No,No,No,No,Yes,No,39.1°C,80,Bovine Viral Diarrhea,"• Management — other short-term infected cattle will usually recover, they might need to be monitored for respiratory diseases like pneumonia. • Humane destruction — PI and MD calves should be humanely euthanized","• Vaccinations — vaccines are available, but more widely used in breeding herd before joining. • Management — avoid mixing susceptible cattle, especially when their BVDV status is unknown. • Management — introducing PI cattle to healthy, non-pregnant cows is sometimes used to immunize the herd, but individual animal’s exposure is unknown."
Dog,Poodle,8,Male,Coughing,Labored Breathing,Lethargy,Appetite Loss,Yes,No,Yes,No,Yes,No,No,39.3°C,126,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Abyssinian,5,Female,Vomiting,Diarrhea,Loss Of Appetite,Dehydration,No,Yes,No,Yes,No,Yes,No,38.5°C,142,Pancreatitis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cow,Brahman,7,Female,Fever,Coughing,Lethargy,Decreased Milk Yield,Yes,No,Yes,Yes,No,Yes,No,39.6°C,81,Mastitis,"Intramammary antibiotic infusion (cloxacillin, penicillin-streptomycin, or cefapirin) directly into the affected teat after complete milk-out; systemic antibiotics (penicillin, amoxicillin) for severe cases with fever. NSAIDs (flunixin meglumine) for pain and inflammation.","Implement a dry-cow therapy program; dip teats in germicidal post-milking iodine solution after every milking. Maintain clean, dry bedding; cull chronically infected cows. Regular somatic cell count monitoring of bulk milk."
Dog,Husky,9,Male,Lethargy,Vomiting,Diarrhea,Loss Of Appetite,Yes,Yes,No,Yes,Yes,No,No,39.1°C,124,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Ragdoll,4,Female,Eye Discharge,Nasal Discharge,Coughing,Lethargy,Yes,No,No,Yes,No,Yes,Yes,38.6°C,148,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Cow,Limousin,2,Male,Diarrhea,Lethargy,Appetite Loss,Dehydration,Yes,No,No,Yes,Yes,No,Yes,39.5°C,85,Cryptosporidiosis,Primarily supportive: aggressive oral or IV electrolyte/fluid replacement is critical. Halofuginone (100 mcg/kg orally) given daily for the first 7 days of life reduces oocyst shedding. No fully curative drug available.,Ensure adequate colostrum intake within the first 6 hours (provides passive immunity). Isolate diarrheic calves; disinfect calving pens thoroughly. Wash hands after handling affected calves.
Dog,Border Collie,3,Female,Coughing,Labored Breathing,Fever,Nasal Discharge,Yes,No,No,Yes,No,Yes,No,39.4°C,129,Bordetella Infection,Doxycycline (5 mg/kg orally twice daily for 10-14 days) or amoxicillin-clavulanate. Cough suppressants (butorphanol) for comfort; nebulization with saline for severe cases. Rest from exercise during recovery.,"Bordetella vaccination (intranasal or injectable) before kenneling, grooming, or dog-park exposure. Avoid contact with coughing dogs. Good ventilation in kennels."
Cat,Devon Rex,6,Male,Vomiting,Appetite Loss,Lethargy,Weight Loss,Yes,No,Yes,No,Yes,No,Yes,38.9°C,146,Inflammatory Bowel Disease,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cow,Red Angus,5,Female,Fever,Diarrhea,Lethargy,Appetite Loss,Yes,No,Yes,No,Yes,No,Yes,39.8°C,83,Bovine Leukemia Virus,No specific antiviral treatment exists. Remove BLV-positive animals from herd to prevent spread. Supportive care for secondary complications such as lymphoma.,"Test all animals before introduction to the herd. Use single-use needles; disinfect equipment between animals. Control blood-sucking insects. Avoid sharing needles, rectal sleeves, or dehorning equipment."
Dog,Chihuahua,3,Male,Sneezing,Eye Discharge,Labored Breathing,Lethargy,Yes,No,No,Yes,No,No,Yes,39.5°C,131,Allergic Rhinitis,"Antihistamines (cetirizine 5-10 mg daily, diphenhydramine) for mild cases; corticosteroids (prednisolone) for moderate-severe flares. Nasal saline flushes; allergen-specific immunotherapy (desensitization injections) for long-term control.","Identify and minimize allergen exposure: pollen, mold, dust mites. Use HEPA air purifiers indoors. Wipe paws after outdoor walks. Regular bathing to remove surface allergens."
Cat,Sphynx,5,Female,Vomiting,Appetite Loss,Diarrhea,Weight Loss,Yes,Yes,No,No,Yes,No,Yes,38.7°C,143,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cow,Guernsey,4,Male,Appetite Loss,Lethargy,Diarrhea,Dehydration,Yes,No,No,Yes,No,No,Yes,39.3°C,84,Bovine Coccidiosis,• Veterinary care — involving administration of sulphadimidine through injection or drench.,"• Diet — provide feed and water off the ground to minimize contamination. • Diet — include sulphadimidine or ionophore like monensin, lasolocid in feeds. • Management and environment — rotation of paddock between species may reduce build-up of oocytes. oral drinking, 5g/10kg weight - Hancoli-Forte, oral drinking, 2g/10kg weight - Gentacostrim, 2g/10kg weight Besides, we can use antibiotics for preventing intestinal bacteria; or herbs such as tea bud, guava leaf to recover the intestinal membrane."
Dog,Dachshund,7,Female,Vomiting,Diarrhea,Weight Loss,Appetite Loss,Yes,Yes,No,Yes,Yes,No,No,39.2°C,120,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
