,Description,Recognition,Symptoms,Similar Conditions,Treatment,Advice/ Prevention
Black quarter (black-leg),"It is an acute infectious and highly fatal, bacterial disease of cattle. Buffaloes, sheep and goats are also affected. Young cattle between 6-24 months of age, in good body condition are mostly affected. It is soil-borne infection which generally occurs during rainy season. In India, the disease is sporadic (1-2 animal) in nature. Causal organism: it is a bacterial disease caused by Clostridium chauvoei. Common
disease for cattle
and sheep but
occasionally
goats and pigs
also suffer from
the disease.",,"• Fever (106-108°F), Loss of appetite, Depression and dullness • Suspended rumination • Rapid pulse and heart rates • Difficult breathing (dyspnoea) • Lameness in affected leg • Crepitation swelling over hip, back & shoulder • Swelling is hot & painful in early stages whereas cold and painless inter. • Recumbency (prostration) followed by death within 12-48 hrs. High fever and lameness
followed by swelling in
the neck, shoulder,
lumbar, gluteal and sacral
regions. Skin over the
affected area become dark
and crepitate on
palpation. Loss of feed
intake, colic, lateral
recumbency, dyspnoea
and death.",,"• Early treatment can be possible to complete cure of the animal. • Consult with veterinarian immediately. Affected animals may be
treated with suitable
antibiotics. Vaccination to be
done in consultation with the
veterinarians and as decided
by state animal husbandry
authorities. Strict biosecurity
measures may be followed.
Grazing area may be
restricted. Carcass may be
disposed hygienically.",
Kidney disease (Cats and Dogs),"The kidneys are responsible to remove waste substances from the blood and maintain a healthy fluid balance within the body. They are also known as life sustaining organs, meaning if the kidneys are not functioning well, life-threatening situations may arise. Kidney disease can be either acute or chronic. Acute kidney disease can be a result of; certain drugs, poisons, trauma, surgical stress, infection, obstructed urine flow, shock, blood loss and severe dehydration. Chronic kidney disease is irreversible and progressive. The same factors as for acute disease play a role however hereditary and breed tendencies, immune system defects and nutritional factors are responsible.","Some may show early signs of kidney disease; however, serious illness signs usually appear after 75% of the kidney function is lost. It is very important to detect it as early as possible by undertaking blood and urine tests. one crucial sign that suggests kidney problems is increased thirst, and therefore action should be taken immediately.",;Increased thirst ;Dehydration ;Lethargy ;Weakness ;Confusion ;Increased urine output ;Poor coat appearance ;Sore mouth ;Depression ;Bad breath ;Weight loss ;Less appetite ;Increased sleeping,;Heart disease ;Diabetes ;Hyperthyroidism ;Urinary tract disease ;Cancer,";Euthanasia ;Kidney transplant (very expensive) ;Intravenous or subcutaneous fluids ;Bicarbonate: to neutralise, either given orally or intravenously ;Antibiotics: if infection is present ;Phosphate binders ;omega fatty acids",";Support your dog or cat through this chronic condition. Be patient and caring. ;Dry food and water only can be problematic, since this does not provide the amount of water that canned food would. ;For cats, adding wet food and cat milk provide a good source of water, therefore preventing kidney and bladder problems. ;Low protein, salt and phosphorous food is important to prevent further deterioration of renal function whilst maintaining a positive quality of life."
Leishmaniasis (Cats and Dogs ),"Leishmaniasis most commonly known as sand fly can be a deadly disease in dogs if not diagnosed early. This can also affect cats, however it is more common to affect dogs. It is caused by a bite usually in the muzzle or the ear by a tiny, sand coloured mosquito. The mosquito carries the protozoa Leishmania infantum and can bite the dog up to 100 times in an hour. This single cell organism travels to the dog’s cells and invades the blood stream affecting the internal organs and eventually end up harming the immune system.","Blood serum antibody tests need to be done to detect leishmaniasis. It is best to carry out the test in winter time and also yearly to exclude any possibility, and if present it will be detected as early as possible.",;Tiny skin lesion in the muzzle or ear ;Severe weight loss ;Loss of appetite ;Diarrhoea ;Vomiting ;Nose bleeds ;Exercise intolerance ;Alopecia ;Hyperkeratosis,;Dermatitis,;Allopurinol; a human medicine usually used for gout,";Collars containing deltamethrin ;Vaccine; can only be used in leishamania negative dogs ;Essential oils; such as neem, citronella, eucalyptus, lemon eucalyptus, lavender and tea tree. Very important: NEVER apply essential oils undiluted! It is best to dilute 1 part of the essential oil with 9 parts water, store in a spray bottle and always shake before use. ;The medication may cause urinary stones on long treatment. ;Proper nutrition is crucial to boost your dogs’ immune system. ;Liver and kidney supplements are necessary to strengthen them due to the regular use of the medicine. ;Although the name implies sand, these are not found on sandy beaches but are found around rubble walls and old houses. ;The fly is sensitive to the sun thus it is active from dusk till dawn. To prevent bites it is best to avoid prolonged stays outdoors. ;Apply a natural insect repellent. ;Hairless spots are the areas where the flies bite. ;Don’t worry, if your dog is moving it is difficult to be a target, however if it sleeps outside there is a higher risk of contracting this disease. ;In Malta, sand fly season commences in the beginning of May and stops end of September. ;Be careful, this is a zoonotic disease and the organisms living in the lesions can be contracted by humans!!"
Foot and mouth disease,"The foot-and-mouth disease is a highly communicable disease affecting cloven footed animals. It is characterized by fever, formation of vesicles and blisters in the mouth, udder, teats and on the skin between the toes and above the hoofs. In India, the disease is widespread and assumes a position of importance in livestock industry. The disease spreads by direct contact or indirectly through infected water, manure, hay and pastures. It is also conveyed by cattle attendants. It is known to spread through recovered animals, field rats, porcupines and birds.",,"• fever with 104-105o F • profuse salivation - ropes of stringy saliva hangs from mouth • vesicles appear in mouth and in the inter digital space • lameness observed • cross bred cattle are highly susceptible to it Fever, loss of feed intake, drop in milk production, drooling of saliva like ropey string, vesicles develop on the tongue, lips, gums, and palate and eventually rupture. Concurrent to oral lesions, vesicles also appear in inter digital skin and coronary band of the feet. The animal May open and close its mouth with a characteristic smacking sound. Sheep and goats May show lameness. In pigs, lesions May be seen on snout and also on the feet. Blisters inside mouth, on lips and tongue, between and above hooves on the feet — blisters may be intact or ruptured, exposing raw, painful tissue.",,• the external application of antiseptics contributes to the healing of the ulcers and wards off attacks by flies. • a common and inexpensive dressing for the lesions in the feet is a mixture of coal-tar and copper sulphate in the proportion of 5:1.,• heavy milch animals and exotic breeds of cattle bred for milk should be protected regularly. • it is advisable to carry out two vaccinations at an interval of six months followed by an annual vaccination programme. • isolation and segregation of sick animals. It should be informed immediately to the veterinary doctor • disinfection of animal sheds with bleaching powder or phenol • attendants and equipment’s for sick animals should be ideally separate • the equipment’s should be thoroughly sanitized • proper disposal of left over feed by the animal • proper disposal of carcasses • control of flies
Urinary tract disease (Cats and Dogs),"The most common feline urinary tract disorder is feline interstitial cystitis. It is caused by an inflammation of an unknown cause; however stress can be one of the factors. Urinary crystals or stones are a complication for both dogs and cats. This cause irritation, pain and blockage and is a very uncomfortable experience for the animal. Urinary bladder stones form from mineral crystals that come together as one. Risk factors for urinary tract diseases include the following: ;Age: cats more than 1 year old and dogs between 2 and 8 years are at higher risk ;Gender: both genders carry an equal risk however males are more predisposed to life threatening urethral obstruction from stones. ;overweight cats ;Lack of exercise ;Low water intake ;Nutrition: too much calcium, magnesium, phosphorous and protein",N/A,;Urinating outside of the litter box ;Loss of bladder control leading to incontinence ;Straining when urinating ;Licking the genital area ;Reduced appetite ;Blood in urine ;Lack of energy or interest in daily activities ;Frequent attempts to urinate ;Decreased urine flow ;Crying out in pain,;Kidney disease,";Surgery, especially males ;Antibiotics; however not all cases have infections ;Anti-anxieties; for stress. Might take a while to work, however not recommended. Stress relief can be done in other ways. ;Glucosamine; to strengthen the bladder lining.",";Episodes usually subside with or without treatment and last only for a few days. ;Cats sometimes associate painful urination with the litter box and end up not using it. ;Stress for cats can occur because there are other guests at the house, conflicts with other pets and also lack of places to hide or rest. It is important to make changes to decrease stress in the environment. ;Be careful when choosing the right food for your pet and make sure that it does not contain high amounts of phosphorous, calcium or magnesium. ;Make sure to increase water consumption by providing fresh and clean water. ;Moist or canned food also helps to increase water consumption. ;Small meals several times a day are much better than one or two large meals a day. ;Any dog or cat which have been treated for urinary tract disease will be at risk of contracting it again, thus it is paramount to make sure to observe your pet to detect the signs early."
Rabies (Mad dog disease),"Rabies is a disease of dogs, foxes, wolves, hyaenas and in some places, it is a disease of bats which feed on blood. The disease is passed to other animals or to people if they are bitten by an animal with rabies. The germs which cause rabies live in the saliva of the sick (rabid) animal. This is a killer disease but not every dog which bites is infected with rabies. When the rabid animal bites another animal or human, the germs which live in its saliva pass into the body through the wound caused by the bite. The germs travel along the nerves to the brain. The time between the bite and the first appearance of signs that the bitten animal or human has been infected can take from 2 to 10 weeks or more. The time taken depends on the distance of the bite from the brain. If the bite is on the face or head, the bitten animal or human will quickly show signs, but if the bite is on the leg it will take much longer for signs to develop.",,"You should first look for the marks of the bite and discover where and when the animal was bitten. All rabid animals show similar signs in the beginning. • they change their normal behaviour and behave very strangely. • They stop eating or drinking. • Male animal will try to mate (mount) other animals. • there is no change in the body temperature. • These signs will continue for 3 to 5 days. Then, before it dies, the animal will develop one or the other of two types of the disease: o the furious (mad) type of the disease makes the animal aggressive and it will bite anything. o The quiet (dumb) type when the animal is quiet and does not move.","Rabies in the dog Dogs show either of the two types of rabies. • a dog with the dumb or quiet type of the disease cannot move. It looks as if it has a bone stuck in the mouth and saliva drips from the mouth. • rabies in the dog lasts about 10 days before the animal dies. If the animal does not die after this length of time then it may not be suffering from rabies. Rabies in sheep, goats and cattle Rabies is characterised by the animals becoming restless and excited. They may bite themselves and saliva drips from the mouth. The most important sign in cattle is that the animal bellows (calls) very frequently and with strange sound. The animals will become paralysed and die. Rabies in the horse and camel The horse will show the furious (mad) type of the disease. It will kick and bite and show signs similar to colic. The animal will die after paralysis of the back legs. In the camel the signs of rabies are similar to those shown by an animal in the rut. What to do with a biting dog Remember that not every dog which bites has rabies. If the dog belongs to somebody ask the owner about its normal behaviour. If the dog is showing signs of rabies you must inform your veterinary officer immediately. The dog must be shot and if it has bitten anybody, they must be taken to a hospital immediately for vaccination.",,"Dogs in your community can be vaccinated against rabies. You should ask your veterinary service about vaccination against rabies. If there is an outbreak of rabies, the livestock in your community can be vaccinated too."
Weight Management (Cats and Digs),"Excessive weight is not good for anyone even for animals. This can be the cause of serious health problems such as; arthritis, respiratory and heart disease and cancer. Too much eating especially together with lack of exercise is the perfect combination for weight gain due to the increase in body fat which is not being burnt by exercise. However, there are other contributing factors; ;Age: older age results in being less active and thus more prone to weight gain ;Spaying and Neutering: promotes a slower metabolism ;Gender: female cats more at risk ;Feeding habits ;overfeeding ;overeating ;Medical disorders ;Breeds: mixed breeds for cats and cocker and Cavalier King Charles spaniel and Labrador retrievers for dogs","Some are very obvious to recognise, whilst some may not be that easy. Weight calculators for pets are available online.",;Ribs cannot be felt easily when running your hand along the side ;Loss of waist ;Slow movement ;Walking difficulties ;Sleeping a lot ;Bad temper ;Shortness of breath ;Looks exhausted when playing or exercising 34 ;Collar needs to be loosen,N/A,;Right nutrition ;Right exercise,";Never allow your pet to scrape the leftovers from your plate as our food can be the key to obesity. ;After feeding your pet, remove the food containers. ;Do not leave containers full of food, unless it is feeding time. ;Be careful when choosing the right nutrition. Many pet foods are full of fats and salts to make the taste better and may result in over eating. ;It is important to feed your pet low-fat and low-calorie food to promote weight loss. ;Although for you, your pet doesn’t seem overweight, it is crucial to monitor the weight at your veterinarian to make sure to maintain a healthy life. ;To promote exercise and weight loss: o For dogs: walk your dog at a steady pace, enjoy playing time and try to play a retrieval game such as tossing a Frisbee. o For cats: call your cat to follow you, enjoy playing time by using a flash light and shining it on the walls so that your cat can chase it while exercising at the same time."
Coccidiosis (Rabbit),"Coccidiosis is a parasitic disease which affects rabbits worldwide. There are 2 forms; hepatic and intestinal, the latter being the most dangerous and deadly. Transmission is carried out by the faecal-oral route for both, however, although good hygienic measures are carried out to eliminate coccidiosis, the intestinal form can still be present even in hygienic environments.",This is carried out by microscopic detection of oocytes in the faeces.,;Anorexia ;Rough coat ;Intestinal lesions ;Hepatic lesions ;Diarrhoea ;Loss of appetite ;Weakness ;Lethargy ;Dehydration,N/A,";Sulpha-drugs; Sulfaquinoxaline, sulphadimethoxime, sulphadimerazine ;other coccidostats; amprolium, salinomycin, diclazuril, toltrazuril",";If treatment is successful, your rabbit is immune to the infection. ;Some rabbits may be carrying the disease without knowing, so be careful when your rabbit is in contact with new rabbits. ;It is very important to remove faeces frequently as to prevent the contamination of food and water with faeces. ;If your rabbit is kept in a wired cage even just to sleep overnight, the cage should be brushed daily. ;Using ammonia solution 10 % to sanitise the living areas is the best, since it kills the oocytes produced in the faeces."
Blue Tongue,"Bluetongue, a disease which is transmitted by midges, infects domestic and wild ruminants and also camelids, however sheep are particularly badly affected. Cattle, although infected more frequently than sheep, do not always show signs of disease. Virus spreads between animals occurs via the midges of Cullicoides species. The likelihood of mechanical transmission between herds and flocks, or indeed within a herd or flock, by unhygienic practices (the use of contaminated surgical equipment or hypodermic needles) may be a possibility. Sheep are moresusceptible thangoats.",,"Sheep : eye and nasal discharges, drooling, high body temperature, swelling in mouth, head and neck, lameness and wasting of muscles in hind legs, haemorrages into or under skin, inflammation of the coronary band, respiratory problems, fever, lethargy. In cattle : nasal discharge, swelling of head and neck, conjunctivitis, swelling inside and ulceration of the mouth, swollen teats, tiredness, saliva drooling, fever. Note: a blue tongue is rarely a clinical sign of infection Control : Inspect stock closely, particularly focusing on the lining of the mouth and nose and the coronary band (where the hoof stops and the skin starts). If an animal is suspected as having bluetongue, it must be reported as quickly as possible. Telephone your local animal health office immediately. Fever, swelling of face,neck, eyelids respiratorydistress, nasal discharge,Salivation, necrotic ulcerson tongue, dental pad,gum, lips hyperaemia ofmuzzle and May bleed atmuco-cutaneous junction.Affected tongue maybecome swollen, cyanoticand purple blue in colour-‘bluetongue’.",,"Vector control using insecticides and good water management. Vaccination of susceptible animals preferably in the month of May. Do not shear sheep during winter months. Restriction in animal movement, segregation of affected animals and symptomatic treatment. Strict biosecurity measures.",
Dental disease (Rabbit),"The teeth are really important for a rabbit. Without the front teeth known as the incisors, the rabbit cannot strip, cut and snip. The tongue is used to push the collected food back to the grinding teeth where these break the harsh fibre down into small pieces that can be swallowed. Chewing all day is a lot of work on the teeth and eventually teeth wears down. However to allow chewing all day, the teeth grow faster than normal teeth would, therefore if the rabbit eats a low fibre diet the teeth won’t wear down at a fast rate and result in overgrown teeth.","The teeth grow both ways, up and down, so some signs may be strange to be associated with overgrown teeth. This is something really painful for the rabbit, so it is crucial to recognize the signs to take action.",;Wet chin due to excessive salivation ;Teeth grinding ;Creamy white eye discharge ;Runny nose ;Refuse food ;Matted fur ;Caecotrophs stuck to his bottom ( caecotrophs are the pellets produced by the rabbit to re-eat) ;Facial abscess ;Weight loss ;Tongue or buccal lesions,;Pasteurellosis ;Myxomatosis,;Teeth trimming; using scissor clipper or burring. This is done by a trained veterinarian. ;Tooth extraction,";The best food to give to your rabbit is grass or hay and not pelleted food. ;It is important to check your rabbit’s teeth at home. This is done when the rabbit is calm, by lifting the lip with your fingers."
Dermatophytes Infection (Rabbit),"Dermatophytosis, most commonly known as ringworm is a fungal infection. It is transmitted via direct contact and is generally related to poor nutrition, poor hygienic measures and stress.","Areas which are infected are usually raised, red and consist of white flakes.",;Loss of hair ;Patches ;Scratching ;Itching ;Yellowish crusts,;Dermatitis,";oral Antifungals; griseofulvin ;Topical antifungals; itraconazole, clotrimazole, miconazole ;Copper sulphate dip",";Equipment (used for grooming, cleaning) should be disinfected to prevent re infection. ;Separate other rabbits from the infected one. ;Be careful when introducing new rabbits to the household because they may be asymptomatic carriers. ;This disease can be transmitted to humans! Take special precautions by using gloves to handle the infected rabbit!"
Listeriosis,"Listeriosis is a bacterial infection most commonly caused by Listeria monocytogenes,[1] although L. ivanovii and L. grayi have been reported in certain cases. Listeriosis can cause severe illness, including severe sepsis, meningitis, or encephalitis, sometimes resulting in lifelong harm and even death",,"In farm animals the disease occurs towards the end of winter or early spring. The first signs of meningo- encephalitis are stiffness of neck, incoordinated movement of limbs and tendency to move in circles or to lean against a fence or wall. There may be paralysis of muscles of jaw and pharynx. Incoordination becomes progressively more severe until the animal can no longer stand. The cattle which are not severely affected may survive. Abortions in cattle usually occur after 4-8 months of pregnancy and at a comparatively later stage in sheep. In pigs and horses, clinical signs are not common but may develop as encephalitis and septicaemia. In poultry, the disease usually causes sudden death, occasionally there are signs of torticollis, weakness and inco-ordination of the legs.",,,
Heat Stroke (Rabbit),"Heatstroke occurs when a rabbit gets too hot and is unable to regulate their body temperature. Heatstroke is a serious illness for rabbits and can prove fatal. A rabbit’s enclosure should ideally be between 10-20 degrees celsius. In the wild, the temperature of their underground warrens stays at around 10 degrees celsius between winter and summer. However, there’s a fine line as rabbits can start to show signs of heatstroke at 25 degrees celsius. Keep a watchful eye on your rabbit on warmer days, there are some really easy things that you can do to keep your rabbit cool and happy when the sun is out.",N/A,;Stretching out ;Breathing rapidly ;Redness of the ears ;Confusion ;Slow movement ;Salivating,N/A,";Cool water should be available at all times. ;Bathing with cold water during warm weather is ideal, but never attempt to put a rabbit suspected of having a heat stroke under cold running water. ;Provide shady areas and out of direct sunlight. ;Take great care when air conditioning your rabbit because temperature elevation may occur more rapidly after predisposing to heat. ;Grooming your rabbit helps to remove all that excess hair. ;Do not forget to keep your rabbit well hydrated by providing fresh vegetables since they are a good source of water.",N/A
Mastitis,"Mastitis, or inflammation of the mammary gland, is the most common and the most expensive disease of dairy cattle throughout most of the world. Although stress and physical injuries may cause inflammation of the gland, infection by invading bacteria or other microorganisms (fungi, yeasts and possibly viruses) is the primary cause of mastitis. Infections begin when microorganisms penetrate the teat canal and multiply in the mammary gland.",,,,"• success depends on the nature of the aetiological agent involved, the severity of the disease and the extent of fibrosis. • complete recovery with freedom from bacterial infection can be obtained in cases of recent infection and in those where fibrosis has taken place only to a small extent. • such drugs as acriflavine, gramicidin and tyrothricin have now ceased to be in use, and have given place to the more effective drugs, such as sulphonamides, penicillin and streptomycin.",
Footrot,"Foot rot is a common cause of lameness in cattle and occurs most frequently when cattle on pasture are forced to walk through mud to obtain water and feed. However, it may occur among cattle in paddocks as well, under apparently excellent conditions. Foot rot is caused when a cut or scratch in the skin allows infection to penetrate between the claws or around the top of the hoof. Individual cases should be kept in a dry place and treated promptly with medication as directed by a veterinarian. If the disease becomes a herd problem a foot bath containing a 5% solution of copper sulphate placed where cattle are forced to walk though it once or twice a day will help to reduce the number of new infections. In addition, drain mud holes and cement areas around the water troughs where cattle are likely to pick up the infection. Keep pens and areas where cattle gather as clean as possible. Proper nutrition regarding protein, minerals and vitamins will maximize hoof health.",,,,,
Bovine rhinotracheitis,"Infectious bovine rhinotracheitis (IBR) is a highly contagious, infectious respiratory disease that is caused by bovine herpesvirus-1 (bhv-1). It can affect young and older cattle. In addition to causing respiratory disease, this virus can cause conjunctivitis, abortions, encephalitis, and generalised systemic infections. Ibr is characterized by acute inflammation of the upper respiratory tract.",,,,There is no direct treatment for viral diseases. Infected animals should be isolated from the rest of the herd and treated with anti-inflammatory drugs and antibiotics for secondary infections if necessary. Carrier cattle should be identified and removed from the herd.,Control of the disease is based on the use of vaccines.
Mites (Rabbit),"Ear mites infestation is caused by parasites which affect either one ear, both and also surrounding areas such as the neck, head, genital region and the abdomen. The mites create what is known as an ear canker because they irritate the ear and form brown crusts. If untreated it may penetrate the inner ear, cause damage to the brain and can result in totricollis (torsion of the neck).","It might not be easy to recognise, however, skin scales might be very visible on the inner ear, which turn into larger and thicker crusted lesions and can also be accompanied by hair loss. Mites might not be visible to the naked eye but your veterinarian will determine the cause.",";Itching around the ear, neck and head ;Head shaking ;Head scratching ;Hair loss or peeling ;Brown crusty exudates in the ears ;Affected areas may become extremely painful ;Pyrexia ;Lethargy ;Loss of balance",;Ear infections,";Antiparasitic drugs: ivermectin, selamectin ;Topical antibiotics ;oral antibiotics",";The mite is contagious, thus it is imperative to isolate the affected rabbit and treat all rabbits in the household. Clean thoroughly the living area and discard of all organic material in the cage. ;The cage should be cleaned everyday during the treatment period and nothing should be reused. ;Any combs and brushes should be discarded to prevent re-infection. ;Do not attempt to remove the crusts from the skin. ;Important to attend for a follow up 1 month after the treatment commences. Fur mites are not as problematic as ear mites, but are very common and can be easily transmitted by direct contact. Whilst ear mites cause extreme itching, fur mites do not. Dandruff may be noticed coming off your rabbit which can be detected upon placing against a dark background. Insecticides, such as imidacloprid, can be applied to prevent infestations."
Piglet diarrhea or scour,"of all the diseases in the sucking piglet, diarrhea is the most common and probably the most important. In some outbreaks, it is responsible for high morbidity and mortality. The main bacterial causes are E. Coli and Clostridia and the main parasite is Coccidia.",,"Scour in the piglet can occur at any age during sucking but there are often two peak periods, before 5 days and between 7 and 14 days.",,,"• adopt procedures to prevent the spread of the scour - disinfect boots between pens, use a disposable plastic apron when dosing piglets to prevent heavy contamination of clothing, wash hands after handling a scoured litter, disinfect brushes and shovels between pen. • ensure that farrowing houses are only used on an all-in all-out basis with a pressure wash and disinfection between each batch. • farrowing pens must be dry before the house is repopulated. Remember that moisture, warmth, waste food and faeces are ideal for bacterial multiplication. • pen floors should be well maintained. Poor pen hygiene associated with bad drainage predisposes to scour. • look carefully at the part of the pen floor where there are piglet faeces. Is this poorly drained? Do large wet patches develop? If so cover them with extra bedding daily and remove. This is a most important aspect of control. • check nipple drinkers and feeding troughs for leakages. • ensure that faeces are removed daily from behind the sow from the day she enters the farrowing crates until at least 7 days post-farrowing if the floors are slatted. Also remove faeces daily throughout lactation if they are solid concrete. • maintain creep environments that are always warm and comfortable. Fluctuating temperatures are a major trigger factor to scour particularly from 7 to 14 days of age. • assess the environment of all the farrowing house. Poor environments allow heavy bacterial multiplication and a much higher bacterial challenge is likely to break down the colostral immunity. • check the sow's health. Animals affected with enteric or respiratory disease, lameness or mastitis predispose the litter to scour. • where farrowing house floors are very poor, pitted and difficult to clean, brush them over with lime wash containing a phenolic disinfectant. • Colostrum management : it is vital that the piglet receives the maximum amount of colostrum within the first 12 hours of birth. High levels of antibody are only absorbed during this period. Factors such as poor teat access, poor crate design, and particularly the development of agalactia in the sow, associated with udder oedema, reduce intake."
Myxomatosis (Rabbit),"This fatal disease is caused by a myxoma virus and can occur in all domesticated rabbit breeds. Some rabbits are resistant, such as the cottontail and jackrabbits. Transmission can occur via direct contact and through bites from mosquitoes, flies and fleas.",Eye inflammation with milky discharge is the initial symptom.,";Eye inflammation ;Milky eye discharge ;Anorexia ;Weakness ;Lethargy ;Pyrexia ;Death within 48 hours ;Purulent nasal discharge ;Rough coat ;Depression ;Swollen eyelids, ears, nose and lips ;Swelling of the genital area ;Coma",;Dental problems ;Eye infections ;Pasteurellosis,"There is no cure to viral infections. ;Fluids ;Antibiotics; to prevent secondary infections Euthanasia is sometimes recommended, to prevent the long and painful death.",";To prevent your rabbit from contracting this disease, protect against mosquitoes and biting flies. This can be done in several ways; o Surround the living area (even if indoors) with mosquito netting o Avoid outsides in the early mornings and late afternoons o Use flea prevention products such as imidacloprid o Vaccination (if available) ;It is very difficult to accept that the best option for your pet is euthanasia, however, this is a fatal disease and otherwise your rabbit will pass through an agonising death. ;It is very important to disinfect all the equipment used by the infected rabbit. ;Wait 4 months before bringing a new rabbit to ensure complete eradication of the virus."
Pasteurellosis (Rabbit),"This condition is also known as snuffles because of the characteristic snuffling breathing sound. Some rabbits do not show symptoms of infection, because these microorganisms reside in the nasal cavity and upper respiratory system and are kept in equilibrium by the rabbit’s immune system. If the bacteria become active, infection can spread to the sinuses and bones of the face and on long exposure to the eyes, ears and blood. This is a highly contagious disease, and can be transmitted both by direct contact and aerosol.","The characteristic breathing sound and exudates coming out the nose and eyes are the main factor to recognise this condition; however, since the signs are so widespread a nasal swab will usually be taken for testing. Sometimes a complete blood count and urinalysis are also undertaken.",;Strange behaviour ;Staining of the front paws ( with discharge collected whilst grooming) ;Anorexia ;Depression ;Head shaking ;Torticollis ;Excessive tears ;Blockage of the tear ducts ;Shortness of breath ;Scratching of the ears ;Genital infections; thick whitish greyish discharge,;Dental disease ;Ear infection ;Eye infection ;Cold ;Sinusitis,;Antibiotics; enrofloxacin ;Surgery,";Infection can spread through the air and is highly contagious especially for rabbits at birth. They can also contract it during birth or shortly after from close contact with an infected mother. ;Separate your rabbit from others and make sure to keep yourself sanitised to prevent from spreading the disease. ;It is very important to support your rabbit through this condition. Help by cleaning the nostrils, keeping him warm and provide the right nutrition. ;It is imperative to encourage oral fluids either as fresh water or also as leafy vegetables and moistened greens such as parsley, carrots, cilantro etc. ;Do not give high carbohydrate or high fat food. ;If your rabbit is not eating, you have to feed using a syringe appropriate gruel mixture."
Red Eye Syndrome (Rabbit),This is one of the most common eye problems seen in rabbits. Red eye is a result of many different causes; ;Bacterial infections ;Glaucoma: can lead to blindness if untreated ;Corneal ulceration: mainly due to trauma ;Conjunctivitis: inflammation of the lining of the eye ;Keratitis ;Dental disease,"The underlying cause determines different signs, and usually it is a very difficult task to come to the exact cause. However, if your rabbit has a red eye, which can be recognised by swollen and irritated eyes, take immediately to a veterinarian.",;Eye discharge ;Swollen eye ;Impaired vision ;Extra tissue around the eye ;Nasal discharge ;Cold ;Lethargy ;Crusting ;Hair loss around the eyes and nasal area ;Abnormal posture,;Dental disease ;Myxomatosis ;Pasteurellosis,;Topical antibiotics ;Topical atropine ;Topical steroids,";Check you rabbit’s teeth. ;Take particular caution when caring for young rabbits since they are more susceptible to eye disease. ;Minimise source of irritation such as dust and dirt by daily cleaning. ;At first, you can use any commercial eye washing product to remove any debris and dirt form the eye of your rabbit. ;Repeated eye checks may be necessary to monitor outcomes of therapy and especially to prevent blindness."
Trichobezoars (Rabbit),"Rabbits groom themselves continuously, so hair is often found in the stomach but this doesn’t normally cause symptoms. Usually, it is passed with other stomach contents and excreted as faecal pellets. Hair chewing can be due to different reasons, one of them is having a low fibre diet and the other strangely enough is boredom. Rabbits are not capable of vomiting the hair balls like cats, and unfortunately it must be able to pass through the digestive system.","It is very difficult to recognise this condition, so it is best to avoid by practising effective preventative measures. An abnormally distended abdomen might be visible and it calls for an emergency veterinary appointment.",;Weight loss ;Anorexia ;Death within 3 to 4 weeks ;Gastric ulceration ;Decreased food intake ;Abdominal distension ;Pain ;Dehydration ;Diarrhoea ;Weakness ;Teeth grinding,;Pasteurellosis,;Add magnesium oxide to the diet ;Motility stimulants; such as metoclopramide ;Fluid therapy ;Pain medication ;Antiulcer therapy ;Probiotics,";To stop boredom, provide an environment where the rabbit can play and keep himself busy. ;To treat an early case, pineapple juice can be given since it contains bromelain, which is a digestive enzyme and helps to break up the hairball. Canned pineapple juice is not effective since the enzyme is destroyed with the process of canning. ;The best option is to prevent by providing your rabbit with a high fibre diet. ;Daily combing helps to remove any loose hair. ;Avoid stressing the rabbit by changing the environment for no reason."
PPR (goat plague),PPR (Peste des petits ruminants) is a most important viral disease of goat capable of heavy mortality and commonly called as goat plague.,,"The clinical sign of PPR in goats is often fulminating and fatal although apparent infection occurs in endemic areas. Incubation period may range from 2-6 days in field conditions. In acute form, there is sudden onset of fever with rectal temperature of at least 40°- 41°C. The affected goats show dullness, sneezing, serous discharge from the eyes and nostrils. During this stage farmers often think that the animal has developed cold exposure and may attempt to provide protection for cold. In the process goats, may be congregated and accentuate the process of transmission. After 2-3 days, discrete lesions develop in the mouth and extend over the entire oral mucosa, forming diphtheric plaques. During this stage profound halitosis (foul smell) is easily appreciable and the animal is unable to eat due to sore mouth and swollen lips. Latter ocular discharge becomes mucopurulent and the exudate dries up, matting the eyelids and partially occluding the nostrils. Diarrhea develops 3-4 days after the fever and is profuse and faeces may be mucoid or bloody depending upon the damage. Dyspnea and coughing occur later due to secondary pneumonia. Death occurs within one week of the onset of the illness.",,"No specific treatment is recommended for PPR being viral disease. However, mortality rates can be reduced by the use of drugs that control the bacterial and parasitic complications. Lesions around the eyes, nostrils and mouth should be cleaned twice daily with sterile cotton swab. Immediate isolation of affected goats from clinically healthy goats is most importance measure in controlling the spread of infection. Nutritious soft, moist, palatable diet should be given to the affected goats. Provide parenteral energy infusion in anorectic goats along with appetizers. Immediately measures should be taken for notification of disease to nearest government veterinary hospital.",
